id_lettera;similar_ID;similarity_value
id_lettera;['id_lettera'];[1.0]
AGR_Audience257-BIS_018;['KBR_ms.III.1635_001', 'KBR_ms.III.1635_007', 'KBR_ms.III.987_001', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_020', 'AGR_Audience257-BIS_023', 'AGR_Audience257-BIS_024'];[0.164, 0.155, 0.174, 0.175, 0.152, 0.156, 0.219, 0.176, 1.0, 0.168, 0.166, 0.204]
AGR_Audience257-BIS_019;['KBR_ms.III.1635_004', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_007', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_020', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_024', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.182, 0.178, 0.203, 0.167, 0.306, 0.167, 0.178, 0.217, 0.328, 0.158, 1.0, 0.157, 0.292, 0.188, 0.242, 0.213]
AGR_Audience257-BIS_020;['AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_020', 'AGR_Audience257-BIS_023', 'AGR_Audience257-BIS_027'];[0.206, 0.21, 0.159, 0.168, 0.157, 1.0, 0.229, 0.162]
AGR_Audience257-BIS_021;['AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.157, 0.219, 0.157, 0.172, 0.213, 0.292, 1.0, 0.211, 0.246]
AGR_Audience257-BIS_022;['AGR_Audience257-BIS_022'];[1.0]
AGR_Audience257-BIS_023;['AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_020', 'AGR_Audience257-BIS_023'];[0.249, 0.21, 0.17, 0.172, 0.166, 0.229, 1.0]
AGR_Audience257-BIS_024;['KBR_ms.III.987_001', 'AGR_Audience257-BIS_003', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_018', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_024', 'AGR_Audience257-BIS_028'];[0.168, 0.151, 0.198, 0.236, 0.202, 0.204, 0.188, 1.0, 0.181]
AGR_Audience257-BIS_025;['AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_025'];[0.598, 1.0]
AGR_Audience257-BIS_026;['AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_026'];[0.189, 1.0]
AGR_Audience257-BIS_027;['KBR_ms.III.1635_004', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_011', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_020', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.207, 0.17, 0.191, 0.176, 0.18, 0.168, 0.251, 0.221, 0.242, 0.162, 0.211, 1.0, 0.295]
AGR_Audience257-BIS_028;['KBR_ms.III.1635_004', 'AGR_Audience257-BIS_002', 'AGR_Audience257-BIS_005', 'AGR_Audience257-BIS_006', 'AGR_Audience257-BIS_008', 'AGR_Audience257-BIS_010', 'AGR_Audience257-BIS_012', 'AGR_Audience257-BIS_014', 'AGR_Audience257-BIS_016', 'AGR_Audience257-BIS_019', 'AGR_Audience257-BIS_021', 'AGR_Audience257-BIS_024', 'AGR_Audience257-BIS_027', 'AGR_Audience257-BIS_028'];[0.177, 0.163, 0.195, 0.228, 0.203, 0.176, 0.293, 0.266, 0.161, 0.213, 0.246, 0.181, 0.295, 1.0]
AGR_Audience1398-6_001;['AGR_Audience1398-6_001'];[1.0]
