Source;Target;Type;Weight
KBR_ms.III.1635_003;KBR_ms.III.1635_007;Undirected;0.08
KBR_ms.III.1635_003;KBR_ms.III.987_001;Undirected;0.05
KBR_ms.III.1635_003;AGR_Audience2152-4_001;Undirected;0.002
KBR_ms.III.1635_003;AGR_Audience2152-4_003;Undirected;0.02
KBR_ms.III.1635_003;AGR_Audience244-F_001;Undirected;0.02
KBR_ms.III.1635_003;AGR_Audience257-BIS_001;Undirected;0.01
KBR_ms.III.1635_003;AGR_Audience257-BIS_002;Undirected;0.064
KBR_ms.III.1635_003;AGR_Audience257-BIS_003;Undirected;0.084
KBR_ms.III.1635_003;AGR_Audience257-BIS_004;Undirected;0.032
KBR_ms.III.1635_003;AGR_Audience257-BIS_005;Undirected;0.075
KBR_ms.III.1635_003;AGR_Audience257-BIS_006;Undirected;0.043
KBR_ms.III.1635_003;AGR_Audience257-BIS_007;Undirected;0.033
KBR_ms.III.1635_003;AGR_Audience257-BIS_008;Undirected;0.039
KBR_ms.III.1635_003;AGR_Audience257-BIS_009;Undirected;0.035
KBR_ms.III.1635_003;AGR_Audience257-BIS_010;Undirected;0.114
KBR_ms.III.1635_003;AGR_Audience257-BIS_011;Undirected;0.043
KBR_ms.III.1635_003;AGR_Audience257-BIS_012;Undirected;0.027
KBR_ms.III.1635_003;AGR_Audience257-BIS_014;Undirected;0.032
KBR_ms.III.1635_003;AGR_Audience257-BIS_015;Undirected;0.014
KBR_ms.III.1635_003;AGR_Audience257-BIS_016;Undirected;0.049
KBR_ms.III.1635_003;AGR_Audience257-BIS_017;Undirected;0.039
KBR_ms.III.1635_003;AGR_Audience257-BIS_018;Undirected;0.06
KBR_ms.III.1635_003;AGR_Audience257-BIS_019;Undirected;0.04
KBR_ms.III.1635_003;AGR_Audience257-BIS_020;Undirected;0.06
KBR_ms.III.1635_003;AGR_Audience257-BIS_021;Undirected;0.047
KBR_ms.III.1635_003;AGR_Audience257-BIS_022;Undirected;0.05
KBR_ms.III.1635_003;AGR_Audience257-BIS_023;Undirected;0.066
KBR_ms.III.1635_003;AGR_Audience257-BIS_024;Undirected;0.056
KBR_ms.III.1635_003;AGR_Audience257-BIS_025;Undirected;0.013
KBR_ms.III.1635_003;AGR_Audience257-BIS_026;Undirected;0.043
KBR_ms.III.1635_003;AGR_Audience257-BIS_027;Undirected;0.07
KBR_ms.III.1635_003;AGR_Audience257-BIS_028;Undirected;0.078
KBR_ms.III.1635_003;AGR_Audience1398-6_001;Undirected;0.02
KBR_ms.III.1635_004;KBR_ms.III.1635_005;Undirected;0.234
KBR_ms.III.1635_004;KBR_ms.III.1635_006;Undirected;0.112
KBR_ms.III.1635_004;KBR_ms.III.1635_007;Undirected;0.187
KBR_ms.III.1635_004;KBR_ms.III.987_001;Undirected;0.112
KBR_ms.III.1635_004;AGR_Audience2152-4_001;Undirected;0.055
KBR_ms.III.1635_004;AGR_Audience2152-4_003;Undirected;0.082
KBR_ms.III.1635_004;AGR_Audience244-F_001;Undirected;0.07
KBR_ms.III.1635_004;AGR_Audience257-BIS_001;Undirected;0.118
KBR_ms.III.1635_004;AGR_Audience257-BIS_002;Undirected;0.191
KBR_ms.III.1635_004;AGR_Audience257-BIS_003;Undirected;0.106
KBR_ms.III.1635_004;AGR_Audience257-BIS_004;Undirected;0.114
KBR_ms.III.1635_004;AGR_Audience257-BIS_005;Undirected;0.231
KBR_ms.III.1635_004;AGR_Audience257-BIS_006;Undirected;0.148
KBR_ms.III.1635_004;AGR_Audience257-BIS_007;Undirected;0.131
KBR_ms.III.1635_004;AGR_Audience257-BIS_008;Undirected;0.173
KBR_ms.III.1635_004;AGR_Audience257-BIS_009;Undirected;0.125
KBR_ms.III.1635_004;AGR_Audience257-BIS_010;Undirected;0.214
KBR_ms.III.1635_004;AGR_Audience257-BIS_011;Undirected;0.182
KBR_ms.III.1635_004;AGR_Audience257-BIS_012;Undirected;0.142
KBR_ms.III.1635_004;AGR_Audience257-BIS_014;Undirected;0.13
KBR_ms.III.1635_004;AGR_Audience257-BIS_015;Undirected;0.087
KBR_ms.III.1635_004;AGR_Audience257-BIS_016;Undirected;0.172
KBR_ms.III.1635_004;AGR_Audience257-BIS_017;Undirected;0.124
KBR_ms.III.1635_004;AGR_Audience257-BIS_018;Undirected;0.11
KBR_ms.III.1635_004;AGR_Audience257-BIS_019;Undirected;0.182
KBR_ms.III.1635_004;AGR_Audience257-BIS_020;Undirected;0.15
KBR_ms.III.1635_004;AGR_Audience257-BIS_021;Undirected;0.123
KBR_ms.III.1635_004;AGR_Audience257-BIS_022;Undirected;0.116
KBR_ms.III.1635_004;AGR_Audience257-BIS_023;Undirected;0.113
KBR_ms.III.1635_004;AGR_Audience257-BIS_024;Undirected;0.082
KBR_ms.III.1635_004;AGR_Audience257-BIS_025;Undirected;0.129
KBR_ms.III.1635_004;AGR_Audience257-BIS_026;Undirected;0.099
KBR_ms.III.1635_004;AGR_Audience257-BIS_027;Undirected;0.207
KBR_ms.III.1635_004;AGR_Audience257-BIS_028;Undirected;0.177
KBR_ms.III.1635_004;AGR_Audience1398-6_001;Undirected;0.045
KBR_ms.III.1635_005;KBR_ms.III.1635_006;Undirected;0.086
KBR_ms.III.1635_005;KBR_ms.III.1635_007;Undirected;0.149
